datetime,ts,open,high,low,close,volume
2025-11-21 12:00:00+00:00,1763726400000,124.24,129.52,121.43,125.36,6968999.5
2025-11-21 16:00:00+00:00,1763740800000,125.36,130.59,123.49,128.06,4931495.7
2025-11-21 20:00:00+00:00,1763755200000,128.06,129.29,125.01,128.61,2516077.2
2025-11-22 00:00:00+00:00,1763769600000,128.61,129.87,126.76,127.06,1472654.8
2025-11-22 04:00:00+00:00,1763784000000,127.06,128.32,125.24,127.66,1326840.4
2025-11-22 08:00:00+00:00,1763798400000,127.66,127.66,125.25,126.62,1368061.4
2025-11-22 12:00:00+00:00,1763812800000,126.62,127.74,125.01,127.07,1403315.6
2025-11-22 16:00:00+00:00,1763827200000,127.07,128.54,126.71,127.14,1078465.9
2025-11-22 20:00:00+00:00,1763841600000,127.14,128.9,126.02,127.5,821862.8
2025-11-23 00:00:00+00:00,1763856000000,127.5,130.74,127.46,129.86,1189303.2
2025-11-23 04:00:00+00:00,1763870400000,129.86,131.86,128.04,128.79,1518786.6
2025-11-23 08:00:00+00:00,1763884800000,128.79,130.84,128.74,129.68,1085913.4
2025-11-23 12:00:00+00:00,1763899200000,129.68,133.07,129.57,132.79,1938931.6
2025-11-23 16:00:00+00:00,1763913600000,132.79,133.37,130.73,132.29,1410796.9
2025-11-23 20:00:00+00:00,1763928000000,132.29,133.48,130.44,130.49,1336967.3
2025-11-24 00:00:00+00:00,1763942400000,130.49,134.37,129.23,133.37,2216996.3
2025-11-24 04:00:00+00:00,1763956800000,133.37,133.83,130.11,130.23,2175725.1
2025-11-24 08:00:00+00:00,1763971200000,130.23,130.64,128.33,129.54,1690295.6
2025-11-24 12:00:00+00:00,1763985600000,129.54,132.58,128.4,131.92,3233989.9
2025-11-24 16:00:00+00:00,1764000000000,131.92,137.96,131.79,137.2,3267469.8
2025-11-24 20:00:00+00:00,1764014400000,137.2,139.8,137.2,138.37,1798067.3
2025-11-25 00:00:00+00:00,1764028800000,138.37,138.9,137.1,137.73,1434931.6
2025-11-25 04:00:00+00:00,1764043200000,137.73,138.88,136.22,136.27,1094762.2
2025-11-25 08:00:00+00:00,1764057600000,136.27,136.76,134.69,136.19,1540166.6
2025-11-25 12:00:00+00:00,1764072000000,136.19,136.88,133.01,134.77,2663426.0
2025-11-25 16:00:00+00:00,1764086400000,134.77,137.98,134.13,136.63,2278739.1
2025-11-25 20:00:00+00:00,1764100800000,136.63,140.47,135.86,138.92,2043045.5
2025-11-26 00:00:00+00:00,1764115200000,138.92,140.71,137.87,138.09,1303767.5
2025-11-26 04:00:00+00:00,1764129600000,138.09,139.88,137.62,139.83,965233.8
2025-11-26 08:00:00+00:00,1764144000000,139.83,139.85,136.11,136.78,1761046.7
2025-11-26 12:00:00+00:00,1764158400000,136.78,138.23,135.4,136.59,2601530.1
2025-11-26 16:00:00+00:00,1764172800000,136.59,144.72,136.37,143.92,3636897.9
2025-11-26 20:00:00+00:00,1764187200000,143.92,144.19,142.46,142.95,1140383.1
2025-11-27 00:00:00+00:00,1764201600000,142.95,144.03,141.94,142.42,1409692.5
2025-11-27 04:00:00+00:00,1764216000000,142.42,144.21,142.21,143.67,950573.0
2025-11-27 08:00:00+00:00,1764230400000,143.67,143.82,141.38,141.98,1322449.3
2025-11-27 12:00:00+00:00,1764244800000,141.98,142.54,140.61,142.1,1235548.9
2025-11-27 16:00:00+00:00,1764259200000,142.1,143.22,141.34,142.66,1079124.7
2025-11-27 20:00:00+00:00,1764273600000,142.66,142.84,140.33,140.75,1052262.8
2025-11-28 00:00:00+00:00,1764288000000,140.75,141.37,138.48,139.59,1276468.7
2025-11-28 04:00:00+00:00,1764302400000,139.59,140.49,138.87,138.9,968796.1
2025-11-28 08:00:00+00:00,1764316800000,138.9,142.58,138.87,140.9,1916732.7
2025-11-28 12:00:00+00:00,1764331200000,140.9,143.56,140.32,141.56,2686937.5
2025-11-28 16:00:00+00:00,1764345600000,141.56,141.61,135.9,137.42,2949662.1
2025-11-28 20:00:00+00:00,1764360000000,137.42,138.23,136.53,137.26,876934.6
2025-11-29 00:00:00+00:00,1764374400000,137.26,137.83,136.68,136.76,504065.7
2025-11-29 04:00:00+00:00,1764388800000,136.76,137.65,136.1,137.23,711161.7
2025-11-29 08:00:00+00:00,1764403200000,137.23,137.43,136.35,137.28,629540.1
2025-11-29 12:00:00+00:00,1764417600000,137.28,137.61,136.37,137.48,636951.6
2025-11-29 16:00:00+00:00,1764432000000,137.48,137.97,134.71,135.61,1569083.0
2025-11-29 20:00:00+00:00,1764446400000,135.61,136.45,135.24,135.84,560103.4
2025-11-30 00:00:00+00:00,1764460800000,135.84,136.76,135.12,136.34,567656.5
2025-11-30 04:00:00+00:00,1764475200000,136.34,136.88,135.41,136.44,534507.5
2025-11-30 08:00:00+00:00,1764489600000,136.44,137.03,136.05,136.34,652599.1
2025-11-30 12:00:00+00:00,1764504000000,136.34,140.15,136.06,138.29,2126934.3
2025-11-30 16:00:00+00:00,1764518400000,138.29,139.79,137.31,137.58,1522113.0
2025-11-30 20:00:00+00:00,1764532800000,137.58,137.88,133.13,133.36,1634444.2
2025-12-01 00:00:00+00:00,1764547200000,133.36,133.65,126.42,126.88,4642880.9
2025-12-01 04:00:00+00:00,1764561600000,126.88,127.35,125.75,127.3,1527164.1
2025-12-01 08:00:00+00:00,1764576000000,127.3,127.92,126.78,127.05,1086656.7
2025-12-01 12:00:00+00:00,1764590400000,127.05,127.7,123.04,125.03,4614852.7
2025-12-01 16:00:00+00:00,1764604800000,125.03,125.26,123.2,123.79,2038790.2
2025-12-01 20:00:00+00:00,1764619200000,123.79,127.32,123.75,126.55,1978901.6
2025-12-02 00:00:00+00:00,1764633600000,126.55,128.44,125.92,127.2,1575491.6
2025-12-02 04:00:00+00:00,1764648000000,127.2,127.8,126.37,127.17,841961.1
2025-12-02 08:00:00+00:00,1764662400000,127.17,128.81,125.91,128.24,1514111.4
2025-12-02 12:00:00+00:00,1764676800000,128.24,140.29,128.12,137.77,6582642.4
2025-12-02 16:00:00+00:00,1764691200000,137.77,140.91,137.36,140.2,3608614.0
2025-12-02 20:00:00+00:00,1764705600000,140.2,140.39,138.2,138.64,1569729.4
2025-12-03 00:00:00+00:00,1764720000000,138.64,140.6,137.71,140.3,1736139.6
2025-12-03 04:00:00+00:00,1764734400000,140.3,144.3,140.13,141.82,2643852.3
2025-12-03 08:00:00+00:00,1764748800000,141.82,142.65,140.73,141.69,1107559.2
2025-12-03 12:00:00+00:00,1764763200000,141.69,143.52,138.72,140.94,3380188.4
2025-12-03 16:00:00+00:00,1764777600000,140.94,142.34,139.84,141.22,1370389.2
2025-12-03 20:00:00+00:00,1764792000000,141.22,146.19,140.66,144.65,2951374.3
2025-12-04 00:00:00+00:00,1764806400000,144.65,146.91,143.6,144.63,1713107.4
2025-12-04 04:00:00+00:00,1764820800000,144.63,144.87,142.53,143.37,1176588.3
2025-12-04 08:00:00+00:00,1764835200000,143.37,144.11,142.6,142.98,803274.2
2025-12-04 12:00:00+00:00,1764849600000,142.98,144.19,141.33,143.16,2314351.3
2025-12-04 16:00:00+00:00,1764864000000,143.16,143.79,137.68,139.6,2784329.6
2025-12-04 20:00:00+00:00,1764878400000,139.6,140.43,138.48,138.94,1477621.5
2025-12-05 00:00:00+00:00,1764892800000,138.94,140.13,138.24,138.48,1120403.1
2025-12-05 04:00:00+00:00,1764907200000,138.48,140.66,137.61,139.62,1392971.4
2025-12-05 08:00:00+00:00,1764921600000,139.62,139.62,136.03,136.95,2274348.8
2025-12-05 12:00:00+00:00,1764936000000,136.95,137.24,134.33,134.97,3184326.5
2025-12-05 16:00:00+00:00,1764950400000,134.97,135.12,130.63,132.39,3953126.9
2025-12-05 20:00:00+00:00,1764964800000,132.39,133.3,131.89,133.23,808057.0
2025-12-06 00:00:00+00:00,1764979200000,133.23,134.07,132.73,133.66,643213.8
2025-12-06 04:00:00+00:00,1764993600000,133.66,133.67,132.45,132.66,462524.2
2025-12-06 08:00:00+00:00,1765008000000,132.66,133.2,131.78,133.12,652107.3
2025-12-06 12:00:00+00:00,1765022400000,133.12,133.92,132.12,132.77,1201477.2
2025-12-06 16:00:00+00:00,1765036800000,132.77,133.44,131.56,131.98,870667.4
2025-12-06 20:00:00+00:00,1765051200000,131.98,132.83,131.2,132.11,637002.1
2025-12-07 00:00:00+00:00,1765065600000,132.11,133.5,131.83,133.42,486671.1
2025-12-07 04:00:00+00:00,1765080000000,133.42,133.44,131.84,132.03,576040.8
2025-12-07 08:00:00+00:00,1765094400000,132.03,132.52,131.45,132.38,569234.2
2025-12-07 12:00:00+00:00,1765108800000,132.38,133.0,127.58,131.9,3749999.8
2025-12-07 16:00:00+00:00,1765123200000,131.9,136.25,130.38,135.66,2815621.0
2025-12-07 20:00:00+00:00,1765137600000,135.66,136.34,129.66,132.16,2563512.8
2025-12-08 00:00:00+00:00,1765152000000,132.16,134.65,131.4,134.22,1166075.3
2025-12-08 04:00:00+00:00,1765166400000,134.22,135.95,133.96,135.81,1084666.3
2025-12-08 08:00:00+00:00,1765180800000,135.81,139.31,135.59,138.31,1881634.5
2025-12-08 12:00:00+00:00,1765195200000,138.31,139.26,135.17,135.45,3049342.2
2025-12-08 16:00:00+00:00,1765209600000,135.45,136.48,132.88,133.56,2405468.7
2025-12-08 20:00:00+00:00,1765224000000,133.56,134.81,132.37,133.19,1492404.3
2025-12-09 00:00:00+00:00,1765238400000,133.19,134.34,132.34,134.07,1045948.8
2025-12-09 04:00:00+00:00,1765252800000,134.07,134.18,131.7,133.13,1210819.4
2025-12-09 08:00:00+00:00,1765267200000,133.13,133.37,131.92,132.85,802578.4
2025-12-09 12:00:00+00:00,1765281600000,132.85,138.46,131.47,138.4,3296729.7
2025-12-09 16:00:00+00:00,1765296000000,138.4,145.03,138.4,142.12,5585900.8
2025-12-09 20:00:00+00:00,1765310400000,142.12,142.35,136.7,137.81,2519167.5
2025-12-10 00:00:00+00:00,1765324800000,137.81,138.54,137.09,138.07,1016396.0
2025-12-10 04:00:00+00:00,1765339200000,138.07,140.16,138.0,139.13,1064899.3
2025-12-10 08:00:00+00:00,1765353600000,139.13,139.76,136.25,137.15,1565304.1
2025-12-10 12:00:00+00:00,1765368000000,137.15,138.1,135.51,136.07,1715404.8
2025-12-10 16:00:00+00:00,1765382400000,136.07,139.64,135.64,138.62,3931755.5
2025-12-10 20:00:00+00:00,1765396800000,138.62,142.5,135.21,136.18,4133809.5
2025-12-11 00:00:00+00:00,1765411200000,136.18,136.35,128.85,129.31,3355592.3
2025-12-11 04:00:00+00:00,1765425600000,129.31,131.45,128.97,130.94,1439843.2
2025-12-11 08:00:00+00:00,1765440000000,130.94,131.3,130.05,130.82,741177.5
2025-12-11 12:00:00+00:00,1765454400000,130.82,132.8,129.76,131.08,2402654.2
2025-12-11 16:00:00+00:00,1765468800000,131.08,135.51,130.01,133.82,3252161.6
2025-12-11 20:00:00+00:00,1765483200000,133.82,137.73,133.73,136.34,2818239.3
2025-12-12 00:00:00+00:00,1765497600000,136.34,137.96,135.16,137.01,1290151.2
2025-12-12 04:00:00+00:00,1765512000000,137.01,140.2,136.48,139.08,1893500.0
2025-12-12 08:00:00+00:00,1765526400000,139.08,139.15,137.18,138.66,1606046.2
2025-12-12 12:00:00+00:00,1765540800000,138.66,139.85,132.8,133.44,3849402.4
2025-12-12 16:00:00+00:00,1765555200000,133.44,133.89,130.24,131.17,3790496.0
2025-12-12 20:00:00+00:00,1765569600000,131.17,132.98,130.88,132.2,997938.7
2025-12-13 00:00:00+00:00,1765584000000,132.2,132.97,132.19,132.81,477438.9
2025-12-13 04:00:00+00:00,1765598400000,132.81,132.95,132.25,132.83,410495.5
2025-12-13 08:00:00+00:00,1765612800000,132.83,134.2,132.83,133.22,953817.5
2025-12-13 12:00:00+00:00,1765627200000,133.22,133.61,132.52,133.19,930518.4
2025-12-13 16:00:00+00:00,1765641600000,133.19,133.74,132.07,132.7,800679.4
2025-12-13 20:00:00+00:00,1765656000000,132.7,133.18,131.54,133.04,798103.8
2025-12-14 00:00:00+00:00,1765670400000,133.04,133.55,132.62,132.86,478159.5
2025-12-14 04:00:00+00:00,1765684800000,132.86,133.33,132.01,133.17,625749.3
2025-12-14 08:00:00+00:00,1765699200000,133.17,133.44,130.06,131.41,2023763.8
2025-12-14 12:00:00+00:00,1765713600000,131.41,131.83,130.21,130.6,1107042.1
2025-12-14 16:00:00+00:00,1765728000000,130.6,131.5,129.23,130.21,1411183.0
2025-12-14 20:00:00+00:00,1765742400000,130.21,130.82,127.81,129.33,1806423.0
2025-12-15 00:00:00+00:00,1765756800000,129.33,133.17,129.23,131.11,1501677.2
2025-12-15 04:00:00+00:00,1765771200000,131.11,132.66,130.8,132.29,646539.0
2025-12-15 08:00:00+00:00,1765785600000,132.29,132.98,131.96,132.22,683520.8
2025-12-15 12:00:00+00:00,1765800000000,132.22,135.4,126.31,126.76,5290589.7
2025-12-15 16:00:00+00:00,1765814400000,126.76,127.2,123.53,124.93,3511845.0
2025-12-15 20:00:00+00:00,1765828800000,124.93,127.8,123.75,127.75,1643822.1
2025-12-16 00:00:00+00:00,1765843200000,127.75,127.97,124.81,126.42,1450678.3
2025-12-16 04:00:00+00:00,1765857600000,126.42,127.4,124.77,125.5,1070237.3
2025-12-16 08:00:00+00:00,1765872000000,125.5,129.05,125.33,128.57,1391064.6
2025-12-16 12:00:00+00:00,1765886400000,128.57,130.07,126.03,129.68,3689621.0
2025-12-16 16:00:00+00:00,1765900800000,129.68,129.79,126.64,127.66,1885525.5
2025-12-16 20:00:00+00:00,1765915200000,127.66,129.47,127.37,129.1,868925.5
2025-12-17 00:00:00+00:00,1765929600000,129.1,129.79,128.16,128.2,750577.8
2025-12-17 04:00:00+00:00,1765944000000,128.2,128.54,126.9,128.21,998583.5
2025-12-17 08:00:00+00:00,1765958400000,128.21,128.22,125.92,127.54,1180530.6
2025-12-17 12:00:00+00:00,1765972800000,127.54,133.98,126.52,126.68,6063969.4
2025-12-17 16:00:00+00:00,1765987200000,126.68,127.97,121.25,122.32,4918390.4
2025-12-17 20:00:00+00:00,1766001600000,122.32,123.67,121.88,123.19,1644113.1
2025-12-18 00:00:00+00:00,1766016000000,123.19,124.13,122.92,123.6,836781.5
2025-12-18 04:00:00+00:00,1766030400000,123.6,124.14,122.15,122.75,881421.0
2025-12-18 08:00:00+00:00,1766044800000,122.75,124.07,122.36,123.98,905534.9
2025-12-18 12:00:00+00:00,1766059200000,123.98,129.02,123.58,127.38,5124518.0
2025-12-18 16:00:00+00:00,1766073600000,127.38,127.46,117.33,117.46,6261569.3
2025-12-18 20:00:00+00:00,1766088000000,117.46,120.12,116.72,119.53,2485762.1
2025-12-19 00:00:00+00:00,1766102400000,119.53,122.45,117.53,121.53,2212407.1
2025-12-19 04:00:00+00:00,1766116800000,121.53,125.33,121.28,124.4,2267771.5
2025-12-19 08:00:00+00:00,1766131200000,124.4,125.71,123.83,125.34,1357939.6
2025-12-19 12:00:00+00:00,1766145600000,125.34,127.63,124.62,124.98,3460347.2
2025-12-19 16:00:00+00:00,1766160000000,124.98,126.93,123.52,126.2,2189985.3
2025-12-19 20:00:00+00:00,1766174400000,126.2,127.84,126.01,126.2,989169.9
2025-12-20 00:00:00+00:00,1766188800000,126.2,126.43,125.15,126.13,697397.8
2025-12-20 04:00:00+00:00,1766203200000,126.13,126.61,125.8,126.12,539457.9
2025-12-20 08:00:00+00:00,1766217600000,126.12,126.84,125.81,126.41,552563.4
2025-12-20 12:00:00+00:00,1766232000000,126.41,126.61,125.39,126.51,728692.6
2025-12-20 16:00:00+00:00,1766246400000,126.51,126.66,125.67,125.97,535834.9
2025-12-20 20:00:00+00:00,1766260800000,125.97,126.5,125.5,125.74,422500.2
2025-12-21 00:00:00+00:00,1766275200000,125.74,126.05,124.61,125.15,742728.2
2025-12-21 04:00:00+00:00,1766289600000,125.15,125.48,125.01,125.24,257857.8
2025-12-21 08:00:00+00:00,1766304000000,125.24,126.55,124.72,125.42,943509.6
2025-12-21 12:00:00+00:00,1766318400000,125.42,125.98,123.33,124.99,2059906.3
2025-12-21 16:00:00+00:00,1766332800000,124.99,126.29,124.3,125.61,1091840.6
2025-12-21 20:00:00+00:00,1766347200000,125.61,126.25,124.62,125.96,758932.1
2025-12-22 00:00:00+00:00,1766361600000,125.96,128.5,124.4,125.96,2108953.3
2025-12-22 04:00:00+00:00,1766376000000,125.96,126.7,125.42,126.2,605901.5
2025-12-22 08:00:00+00:00,1766390400000,126.2,127.41,125.35,126.93,1356023.8
2025-12-22 12:00:00+00:00,1766404800000,126.93,128.74,126.22,128.01,2382673.9
2025-12-22 16:00:00+00:00,1766419200000,128.01,128.39,124.53,124.56,2046103.6
2025-12-22 20:00:00+00:00,1766433600000,124.56,125.98,124.09,125.87,1470336.0
2025-12-23 00:00:00+00:00,1766448000000,125.87,126.87,124.81,125.58,1079387.6
2025-12-23 04:00:00+00:00,1766462400000,125.58,126.04,123.67,124.12,1367420.7
2025-12-23 08:00:00+00:00,1766476800000,124.12,125.17,123.84,124.78,777371.9
2025-12-23 12:00:00+00:00,1766491200000,124.78,124.87,122.1,123.31,3009613.0
2025-12-23 16:00:00+00:00,1766505600000,123.31,124.87,122.69,123.9,1820175.2
2025-12-23 20:00:00+00:00,1766520000000,123.9,125.63,123.36,123.95,1093849.9
2025-12-24 00:00:00+00:00,1766534400000,123.95,124.24,121.67,122.64,1268961.8
2025-12-24 04:00:00+00:00,1766548800000,122.64,123.01,120.46,121.23,1485911.8
2025-12-24 08:00:00+00:00,1766563200000,121.23,122.17,120.96,121.98,730813.3
2025-12-24 12:00:00+00:00,1766577600000,121.98,122.9,120.64,122.66,1495329.9
2025-12-24 16:00:00+00:00,1766592000000,122.66,123.44,121.76,122.85,1352049.9
2025-12-24 20:00:00+00:00,1766606400000,122.85,123.36,122.37,122.49,639293.4
2025-12-25 00:00:00+00:00,1766620800000,122.49,123.12,122.05,122.64,530045.7
2025-12-25 04:00:00+00:00,1766635200000,122.64,122.81,122.0,122.25,434392.4
2025-12-25 08:00:00+00:00,1766649600000,122.25,122.62,121.23,121.59,881439.0
2025-12-25 12:00:00+00:00,1766664000000,121.59,124.03,121.52,123.59,1396529.6
2025-12-25 16:00:00+00:00,1766678400000,123.59,124.42,122.72,123.41,1500807.7
2025-12-25 20:00:00+00:00,1766692800000,123.41,123.51,119.62,119.96,2223958.2
2025-12-26 00:00:00+00:00,1766707200000,119.96,124.34,119.1,122.64,2827686.3
2025-12-26 04:00:00+00:00,1766721600000,122.64,123.94,121.76,122.67,1316414.2
2025-12-26 08:00:00+00:00,1766736000000,122.67,124.1,122.24,123.8,1190719.1
2025-12-26 12:00:00+00:00,1766750400000,123.8,125.08,120.36,121.44,3674768.0
2025-12-26 16:00:00+00:00,1766764800000,121.44,122.31,121.07,122.09,1236716.9
2025-12-26 20:00:00+00:00,1766779200000,122.09,122.6,121.74,122.22,537876.8
2025-12-27 00:00:00+00:00,1766793600000,122.22,123.75,121.75,123.61,752661.3
2025-12-27 04:00:00+00:00,1766808000000,123.61,123.7,122.7,123.1,638700.8
2025-12-27 08:00:00+00:00,1766822400000,123.1,123.29,122.45,122.92,440191.0
2025-12-27 12:00:00+00:00,1766836800000,122.92,123.62,122.68,123.27,463004.4
2025-12-27 16:00:00+00:00,1766851200000,123.27,123.41,122.69,123.2,447589.1
2025-12-27 20:00:00+00:00,1766865600000,123.2,125.08,123.2,124.69,1238932.7
2025-12-28 00:00:00+00:00,1766880000000,124.69,124.9,123.85,124.05,420384.5
2025-12-28 04:00:00+00:00,1766894400000,124.05,124.31,123.46,124.15,432987.6
2025-12-28 08:00:00+00:00,1766908800000,124.15,124.8,123.91,124.59,506278.3
2025-12-28 12:00:00+00:00,1766923200000,124.59,124.96,124.23,124.36,570654.6
2025-12-28 16:00:00+00:00,1766937600000,124.36,124.7,123.03,123.25,1049744.8
2025-12-28 20:00:00+00:00,1766952000000,123.25,125.62,123.05,125.22,948402.8
2025-12-29 00:00:00+00:00,1766966400000,125.22,130.26,124.93,128.57,3406626.7
2025-12-29 04:00:00+00:00,1766980800000,128.57,129.12,127.14,127.83,1024988.3
2025-12-29 08:00:00+00:00,1766995200000,127.83,128.59,124.81,125.02,1803001.2
2025-12-29 12:00:00+00:00,1767009600000,125.02,125.34,122.24,123.37,3392735.7
2025-12-29 16:00:00+00:00,1767024000000,123.37,123.9,122.47,122.98,1511760.3
2025-12-29 20:00:00+00:00,1767038400000,122.98,123.54,122.7,123.18,574769.8
2025-12-30 00:00:00+00:00,1767052800000,123.18,123.87,122.49,123.7,791060.9
2025-12-30 04:00:00+00:00,1767067200000,123.7,124.28,123.09,123.95,706356.1
2025-12-30 08:00:00+00:00,1767081600000,123.95,125.1,123.92,124.25,1191284.7
2025-12-30 12:00:00+00:00,1767096000000,124.25,125.4,123.5,125.12,2025559.1
2025-12-30 16:00:00+00:00,1767110400000,125.12,126.49,123.72,124.69,1818101.8
2025-12-30 20:00:00+00:00,1767124800000,124.69,125.05,123.4,124.92,846076.6
2025-12-31 00:00:00+00:00,1767139200000,124.92,126.03,124.34,125.74,905501.6
2025-12-31 04:00:00+00:00,1767153600000,125.74,126.02,125.31,125.91,512374.2
2025-12-31 08:00:00+00:00,1767168000000,125.91,126.83,125.36,126.67,934375.7
2025-12-31 12:00:00+00:00,1767182400000,126.67,127.42,124.99,125.55,1989543.6
2025-12-31 16:00:00+00:00,1767196800000,125.55,125.71,124.28,124.35,1341704.2
2025-12-31 20:00:00+00:00,1767211200000,124.35,125.23,123.43,124.64,1745590.2
2026-01-01 00:00:00+00:00,1767225600000,124.64,125.81,124.58,125.2,703491.0
2026-01-01 04:00:00+00:00,1767240000000,125.2,125.3,124.21,124.23,531800.5
2026-01-01 08:00:00+00:00,1767254400000,124.23,125.25,124.13,125.22,628805.5
2026-01-01 12:00:00+00:00,1767268800000,125.22,125.26,124.4,124.91,673082.4
2026-01-01 16:00:00+00:00,1767283200000,124.91,125.77,124.23,125.72,1287679.8
2026-01-01 20:00:00+00:00,1767297600000,125.72,127.26,125.27,126.87,1114204.7
2026-01-02 00:00:00+00:00,1767312000000,126.87,127.97,125.81,127.51,1339022.8
2026-01-02 04:00:00+00:00,1767326400000,127.51,127.73,126.7,127.1,792368.9
2026-01-02 08:00:00+00:00,1767340800000,127.1,129.95,127.08,128.16,1821383.9
2026-01-02 12:00:00+00:00,1767355200000,128.16,129.59,126.74,128.92,2690178.0
2026-01-02 16:00:00+00:00,1767369600000,128.92,132.32,128.6,131.56,3063373.2
2026-01-02 20:00:00+00:00,1767384000000,131.56,133.28,130.76,132.24,1502284.0
2026-01-03 00:00:00+00:00,1767398400000,132.24,133.13,132.02,132.79,748932.3
2026-01-03 04:00:00+00:00,1767412800000,132.79,132.87,129.51,130.04,1095049.2
2026-01-03 08:00:00+00:00,1767427200000,130.04,131.38,129.72,130.61,832824.9
2026-01-03 12:00:00+00:00,1767441600000,130.61,132.14,130.41,131.42,836379.8
2026-01-03 16:00:00+00:00,1767456000000,131.42,132.0,131.41,131.71,413418.0
2026-01-03 20:00:00+00:00,1767470400000,131.71,133.91,131.27,133.32,1104012.7
2026-01-04 00:00:00+00:00,1767484800000,133.32,134.97,133.24,134.53,1453047.8
2026-01-04 04:00:00+00:00,1767499200000,134.53,135.04,133.55,133.75,872785.8
2026-01-04 08:00:00+00:00,1767513600000,133.75,134.83,133.14,134.32,883946.8
2026-01-04 12:00:00+00:00,1767528000000,134.32,135.29,133.68,134.8,1265595.3
2026-01-04 16:00:00+00:00,1767542400000,134.8,135.48,132.94,133.47,1324703.9
2026-01-04 20:00:00+00:00,1767556800000,133.47,134.79,133.31,134.03,782798.8
2026-01-05 00:00:00+00:00,1767571200000,134.03,137.72,133.91,136.59,2279463.7
2026-01-05 04:00:00+00:00,1767585600000,136.59,136.72,134.51,135.35,1341626.9
2026-01-05 08:00:00+00:00,1767600000000,135.35,135.98,134.65,135.66,937377.0
2026-01-05 12:00:00+00:00,1767614400000,135.66,136.45,133.1,136.09,2978458.8
2026-01-05 16:00:00+00:00,1767628800000,136.09,138.81,134.22,138.21,2540322.8
2026-01-05 20:00:00+00:00,1767643200000,138.21,139.85,137.7,137.85,1308180.1
2026-01-06 00:00:00+00:00,1767657600000,137.85,138.57,136.82,138.3,1137433.2
2026-01-06 04:00:00+00:00,1767672000000,138.3,140.0,137.24,137.49,1587077.4
2026-01-06 08:00:00+00:00,1767686400000,137.49,139.63,137.29,139.44,1253058.3
2026-01-06 12:00:00+00:00,1767700800000,139.44,143.46,138.63,141.51,3779537.9
2026-01-06 16:00:00+00:00,1767715200000,141.51,141.92,136.08,137.47,3651399.3
2026-01-06 20:00:00+00:00,1767729600000,137.47,141.99,137.43,141.03,2107547.1
2026-01-07 00:00:00+00:00,1767744000000,141.03,141.34,138.43,139.51,1605966.9
2026-01-07 04:00:00+00:00,1767758400000,139.51,139.65,137.99,139.3,876137.9
2026-01-07 08:00:00+00:00,1767772800000,139.3,139.73,136.46,137.85,1636697.7
2026-01-07 12:00:00+00:00,1767787200000,137.85,138.45,135.13,135.59,2453551.7
2026-01-07 16:00:00+00:00,1767801600000,135.59,136.57,134.33,135.66,1527098.5
2026-01-07 20:00:00+00:00,1767816000000,135.66,137.01,134.9,136.32,878870.9
2026-01-08 00:00:00+00:00,1767830400000,136.32,138.23,135.9,136.66,1301059.1
2026-01-08 04:00:00+00:00,1767844800000,136.66,138.29,133.69,135.8,2188711.9
2026-01-08 08:00:00+00:00,1767859200000,135.8,136.14,133.8,134.72,1262035.3
2026-01-08 12:00:00+00:00,1767873600000,134.72,136.46,132.67,136.32,2718110.2
2026-01-08 16:00:00+00:00,1767888000000,136.32,139.0,136.16,137.47,2285558.7
2026-01-08 20:00:00+00:00,1767902400000,137.47,140.03,136.44,138.26,1512726.0
2026-01-09 00:00:00+00:00,1767916800000,138.26,141.11,137.63,140.74,1610823.6
2026-01-09 04:00:00+00:00,1767931200000,140.74,141.0,139.38,139.49,1045739.3
2026-01-09 08:00:00+00:00,1767945600000,139.49,139.64,136.98,138.2,1842828.5
2026-01-09 12:00:00+00:00,1767960000000,138.2,140.89,136.07,138.78,3402865.9
2026-01-09 16:00:00+00:00,1767974400000,138.78,140.21,135.33,135.7,2426417.3
2026-01-09 20:00:00+00:00,1767988800000,135.7,136.36,134.87,135.91,998569.6
2026-01-10 00:00:00+00:00,1768003200000,135.91,136.69,135.59,136.08,588751.4
2026-01-10 04:00:00+00:00,1768017600000,136.08,136.29,135.66,136.04,329468.5
2026-01-10 08:00:00+00:00,1768032000000,136.04,137.04,135.94,136.55,503926.5
2026-01-10 12:00:00+00:00,1768046400000,136.55,137.0,135.97,136.39,452994.3
2026-01-10 16:00:00+00:00,1768060800000,136.39,136.66,135.81,136.18,442545.0
2026-01-10 20:00:00+00:00,1768075200000,136.18,136.22,135.2,135.77,527349.8
2026-01-11 00:00:00+00:00,1768089600000,135.77,136.4,135.67,136.2,346509.6
2026-01-11 04:00:00+00:00,1768104000000,136.2,136.36,135.79,136.11,298762.7
2026-01-11 08:00:00+00:00,1768118400000,136.11,136.82,136.01,136.5,373006.8
2026-01-11 12:00:00+00:00,1768132800000,136.5,139.51,136.44,138.39,1631229.1
2026-01-11 16:00:00+00:00,1768147200000,138.39,141.56,138.39,139.37,2077358.5
2026-01-11 20:00:00+00:00,1768161600000,139.37,139.69,137.44,139.61,1758301.6
2026-01-12 00:00:00+00:00,1768176000000,139.61,144.32,138.82,142.45,3403885.7
2026-01-12 04:00:00+00:00,1768190400000,142.45,143.24,141.29,141.34,1296512.4
2026-01-12 08:00:00+00:00,1768204800000,141.34,141.99,138.93,139.9,2387508.3
2026-01-12 12:00:00+00:00,1768219200000,139.9,142.72,138.59,142.56,2579755.8
